Incident Number,Incident_Type,Date_Reported,Cause_Category,Cause_Agent,Population_Density,Province,Latitude,Longitude,Substance,Release_Type,Significant,Pipeline_Type,Activity_in_Process,Pipeline_Involved,Rupture,Environmental_Impact,Source of Explosion,Source of Fire,Activity at time of fatality,Injury,Pax,Evacuees,Pipeline_Name,Pipeline_Length,Substance_Carried,Land_Use,Emergency_Level,Nominal_Pipe_Size,Pipe_Material,Material_Grade,Design_Thickness,Licensed_Max_Pressure,Actual_Operating_Pressure,Year_of_Manufacture,Year_of_Installation,Service_Year,Weld type ,Seam_Type,Seam_Joining_Method,Coating_Location,Coating_Type
INC2008-115,Fire,12/02/2008,Equipment Failure,Maintenance,Low ,British Columbia,56.63822,-121.65102,Not Applicable,Not Applicable,No,,Operation,Yes,No,No,,Equipment & Electrical,,,,0,WEI - Booster Station #3 - Kobes,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2008-119,Release of Substance,12/08/2008,Defect and Deterioration,Maintenance,Low ,British Columbia,55.032,-123.03098,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,WEI - McLeod Lake Compressor Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2008-120,Release of Substance,12/09/2008,Equipment Failure,Maintenance,Low ,Manitoba,49.75544,-97.2305,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,NPS 1/2,,,,0,,,,,,,,,
INC2008-121,Adverse Environmental Effects,12/10/2008,Equipment Failure,Maintenance,Low ,Nova Scotia,45.18253,-61.65236,Not Applicable,Not Applicable,Yes,,Construction,No,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2008-123,Fire,12/17/2008,External Interference,Maintenance,Very High ,Alberta,53.5474,-113.35571,Not Applicable,Not Applicable,No,,Construction,No,No,No,,Under Investigation or Unknown,,,,0,EPI - Edmonton Terminal,,,Unknown Land Use (Historical Data Migration),Level I,,,,,0,,,,,,,,,
INC2008-128,Release of Substance,01/13/2009,Corrosion and Cracking,Engineering and Planning,Unknown,Ontario,49.76492,-84.91824,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,TCPL - Station 86 (Hearst Compressor Station),,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2009-002,Release of Substance,01/15/2009,Corrosion and Cracking,Maintenance,Unknown,Ontario,43.11405,-79.46307,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,TCPL - Station 211 (Lincoln Compressor Station),,,Unknown Land Use (Historical Data Migration),Level I,,,,,0,,,,,,,,,
INC2009-009,Serious Injury (CER),02/09/2009,Incorrect Operation,Human Factors,High ,Saskatchewan,50.44344,-104.35655,Not Applicable,Not Applicable,Yes,,Construction,No,No,No,,,,Fracture,1,0,,,,Unknown Land Use (Historical Data Migration),Level III,,,,,,,,,,,,,,
INC2009-010,Release of Substance,02/09/2009,Defect and Deterioration,Maintenance,Unknown,Ontario,43.11368,-79.46307,Fuel Gas,Gas,No,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2018-054,Fire,05/31/2018,External Interference,Natural or Environmental Forces,Medium ,Ontario,44.93673852,-79.339419,Not Applicable,Not Applicable,No,Transmission,Construction,No,No,No,,Under Investigation or Unknown,,,,0,LINE 100-2,3393.42642,Natural Gas,Shrub Land,Level I,,,,,,,,,,,,,,
INC2009-015,Serious Injury (CER),02/20/2009,Incorrect Operation,Inadequate Supervision,Low ,British Columbia,56.72686,-121.81832,Natural Gas - Sour,Gas,Yes,Transmission,Operation,Yes,Yes,No,,,,Lost Consciousness,2,0,,,,Unknown Land Use (Historical Data Migration),Level III,NPS 18,Carbon Steel,290 - X42,9.5 mm = 0.375 in,800,,,,,,Straight,Electric Resistance Welded,Internal,
INC2009-019,Release of Substance,03/05/2009,Defect and Deterioration,Maintenance,Unknown,Manitoba,49.91175,-98.51757,Lube Oil,Liquid,No,,Operation,Yes,No,No,,,,,,0,TCPL - Station 34 (Portage La Prarie Comp. Stn),,,Unknown Land Use (Historical Data Migration),Level I,NPS 1/2,,,,0,,,,,,,,,
INC2009-021,Release of Substance,03/10/2009,Defect and Deterioration,Maintenance,Unknown,Ontario,48.87172,-80.89396,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,,,,Developed Land - Industrial,Level I,,,,,0,,,,,,,,,
INC2009-024,Serious Injury (CER),03/13/2009,Incorrect Operation,Human Factors,Unknown,Ontario,42.97494,-82.40703,Not Applicable,Not Applicable,Yes,,Maintenance,No,No,No,,,,Lost Consciousness,1,0,EPI - Sarnia Pump Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2009-026,Release of Substance,03/23/2009,External Interference,Failure in communication,Unknown,British Columbia,57.31724,-120.82153,Natural Gas - Sour,Gas,Yes,,Operation,Yes,No,No,,,,,,0,"10"" Dahl Pipeline",30.95531555,Natural Gas Sour,Unknown Land Use (Historical Data Migration),Level I,NPS 1/4,,,,0,,,,,,,,,
INC2009-031,Release of Substance,04/07/2009,Equipment Failure,Maintenance,Unknown,British Columbia,54.97941,-121.06074,Natural Gas - Sour,Gas,Yes,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2009-032,Release of Substance,04/08/2009,Natural Force Damage,Engineering and Planning,Unknown,Ontario,49.58574,-83.16712,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,TCPL - Station 92 (Mattice Compressor Station),,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
